fmt,board,kernel_axis,opponent,shape_nr,regime,my_hot_ratio,cold_ratio,cold_iqrpct,ours_wGBs_cold,opp_wGBs_cold,cold_vs_hot,cold_geq_parity,e2e_decode,cold_predicts_e2e_decode
q4_K,k1/VLEN256,repack-GEMM,factory-block-dot(vec_dot_q4_K_q8_K),64,prefill/compute-bound,3.19,3.179,0.14,0.033,0.010,equal,YES,1.284x-WIN,MATCH(direction)
q4_K,k1/VLEN256,repack-GEMM,factory-block-dot,4,decode-leaning/compute-bound,n/a,2.825,0.78,0.517,0.183,lower-than-nr64,YES,1.284x-WIN,MATCH(direction)
q5_K,k1/VLEN256,repack-GEMM,factory-block-dot(vec_dot_q5_K_q8_K),64,prefill/compute-bound,1.922,1.923,0.18,0.012,0.006,equal,YES,0.729x-LOSS,MISMATCH
q5_K,k1/VLEN256,repack-GEMM,factory-block-dot,4,decode-leaning/compute-bound,n/a,1.794,0.45,0.193,0.108,lower-than-nr64,YES,0.729x-LOSS,MISMATCH
q4_0,k1/VLEN256,repack-GEMM,factory-block-dot(vec_dot_q4_0_q8_0),64,prefill/compute-bound,3.508,3.496,0.23,0.035,0.010,equal,YES,1.66x-WIN,MATCH(direction)
q4_0,k1/VLEN256,repack-GEMM,factory-block-dot,4,decode-leaning/compute-bound,3.496,3.443,0.28,0.544,0.158,lower-than-nr64,YES,1.66x-WIN,MATCH(direction)
q8_0,k1/VLEN256,repack-GEVM,factory-block-dot(vec_dot_q8_0_q8_0),1,decode-native/memory-leaning,1.482,1.484,0.42,1.733,1.168,equal,YES,1.21x-WIN,MATCH(clean/same-kernel)
