kernel,target,phase,entry,symbol,source_bindings,physical_bindings,input_policy,repetitions,numeric,max_absolute_error,max_relative_error,throughput,unit,previous_weft,source,ratio,change_percent,log,local_artifacts,remote_artifacts
dequantize_row_q5_1,SG2044,tensor,examples/kernels/dequantize/q5_1.py,row_dequantize_q5_1,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,729.788761,MEl/s,731.547787,160.592736,4.544345,-0.240,/tmp/weft-band-final-runs.BxYFeq/sg2044-074-dequantize_row_q5_1-tensor.log,/tmp/weft-row-dequantize.sJ3biF,rvv:/tmp/weft-row-dequantize.SaEczr
dequantize_row_q5_k,SG2044,tensor,examples/kernels/dequantize/q5_k.py,row_dequantize_q5_k,{},"{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,354.617883,MEl/s,346.382976,380.580081,0.931783,2.377,/tmp/weft-band-final-runs.BxYFeq/sg2044-024-dequantize_row_q5_k-tensor.log,/tmp/weft-row-dequantize.fhTy30,rvv:/tmp/weft-row-dequantize.B6l2Nr
dequantize_row_q6_k,SG2044,tensor,examples/kernels/dequantize/q6_k.py,row_dequantize_q6_k,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,342.433143,MEl/s,320.872085,193.883766,1.766177,6.720,/tmp/weft-band-final-runs.BxYFeq/sg2044-057-dequantize_row_q6_k-tensor.log,/tmp/weft-row-dequantize.jJUSOa,rvv:/tmp/weft-row-dequantize.5EhOwn
dequantize_row_q8_0,SG2044,tensor,examples/kernels/dequantize/q8_0.py,row_dequantize_q8_0,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,725.138052,MEl/s,725.526959,331.203030,2.189406,-0.054,/tmp/weft-band-final-runs.BxYFeq/sg2044-066-dequantize_row_q8_0-tensor.log,/tmp/weft-row-dequantize.y5KvKi,rvv:/tmp/weft-row-dequantize.nzngkg
dequantize_row_tq2_0,SG2044,tensor,examples/kernels/dequantize/tq2_0.py,row_dequantize_tq2_0,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,734.302704,MEl/s,734.246144,673.603336,1.090111,0.008,/tmp/weft-band-final-runs.BxYFeq/sg2044-039-dequantize_row_tq2_0-tensor.log,/tmp/weft-row-dequantize.JN0WqW,rvv:/tmp/weft-row-dequantize.9REihT
iq1_m_q8_k,SG2044,decode,examples/kernels/vec_dot/iq1_m_q8_k.py,quantized_vec_dot_iq1_m_q8_k,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":2}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.188051,GOP/s,2.187488,2.650472,0.825533,0.026,/tmp/weft-band-final-runs.BxYFeq/sg2044-011-iq1_m_q8_k-decode.log,/tmp/weft-quantized-vec-dot.xNmq8s,rvv:/tmp/weft-quantized-vec-dot.vzyPGY
iq1_s_q8_k,SG2044,decode,examples/kernels/vec_dot/iq1_s_q8_k.py,quantized_vec_dot_iq1_s_q8_k,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":4}",valid-quantized-record-replicated,10,within-tolerance,0,0,3.811723,GOP/s,3.520539,4.861243,0.784105,8.271,/tmp/weft-band-final-runs.BxYFeq/sg2044-005-iq1_s_q8_k-decode.log,/tmp/weft-quantized-vec-dot.sI4mVi,rvv:/tmp/weft-quantized-vec-dot.tBPFLv
iq2_s_q8_k,SG2044,decode,examples/kernels/vec_dot/iq2_s_q8_k.py,quantized_vec_dot_iq2_s_q8_k,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.992088,GOP/s,2.369991,1.969226,1.519423,26.249,/tmp/weft-band-final-runs.BxYFeq/sg2044-045-iq2_s_q8_k-decode.log,/tmp/weft-quantized-vec-dot.gYungB,rvv:/tmp/weft-quantized-vec-dot.U9fBjx
iq2_xs_q8_k,SG2044,decode,examples/kernels/vec_dot/iq2_xs_q8_k.py,quantized_vec_dot_iq2_xs_q8_k,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,3.392023,GOP/s,3.524658,4.164948,0.814421,-3.763,/tmp/weft-band-final-runs.BxYFeq/sg2044-014-iq2_xs_q8_k-decode.log,/tmp/weft-quantized-vec-dot.BUlZ4w,rvv:/tmp/weft-quantized-vec-dot.RK9Y0c
iq3_s_q8_k,SG2044,decode,examples/kernels/vec_dot/iq3_s_q8_k.py,quantized_vec_dot_iq3_s_q8_k,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,1.823094,GOP/s,1.824628,1.193213,1.527886,-0.084,/tmp/weft-band-final-runs.BxYFeq/sg2044-054-iq3_s_q8_k-decode.log,/tmp/weft-quantized-vec-dot.a80KcO,rvv:/tmp/weft-quantized-vec-dot.jFfF8P
iq3_xxs_q8_k,SG2044,decode,examples/kernels/vec_dot/iq3_xxs_q8_k.py,quantized_vec_dot_iq3_xxs_q8_k,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.207702,GOP/s,2.396461,2.673523,0.825765,-7.877,/tmp/weft-iq3-flat-runs.t06mR8/sg2044-001-iq3_xxs_q8_k-decode.log,/tmp/weft-quantized-vec-dot.u0ACaK,rvv:/tmp/weft-quantized-vec-dot.oHXWiL
iq4_xs_q8_k,SG2044,decode,examples/kernels/vec_dot/iq4_xs_q8_k.py,quantized_vec_dot_iq4_xs_q8_k,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0.00146484375,2.09938253e-07,6.364725,GOP/s,6.606590,2.694378,2.362224,-3.661,/tmp/weft-band-final-runs.BxYFeq/sg2044-068-iq4_xs_q8_k-decode.log,/tmp/weft-quantized-vec-dot.XrlwAl,rvv:/tmp/weft-quantized-vec-dot.8H12MK
mul_mat_f16,SG2044,prefill,examples/kernels/mul_mat/f16.py,production_mul_mat_f16,"{""KB"":4096,""KC"":4096,""MC"":16,""MR"":4,""NC"":32,""NR"":2}","{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",dense-fixed-values,10,within-tolerance,0.00253677368,0.0015805389,15.674408,GOP/s,15.857677,15.033602,1.042625,-1.156,/tmp/weft-band-final-runs.BxYFeq/sg2044-038-mul_mat_f16-prefill.log,/tmp/weft-mul-mat.Z8rTy1,rvv:/tmp/weft-mul-mat.fNInnr
mul_mat_f32,SG2044,decode,examples/kernels/dense/gemm_f32.py,gemm_f32,"{""MC"":64,""MR"":2,""NC"":16,""NR"":2}","{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",dense-fixed-values,10,within-tolerance,0,0,2.540104,GOP/s,2.553196,1.717123,1.479279,-0.513,/tmp/weft-band-final-runs.BxYFeq/sg2044-053-mul_mat_f32-decode.log,/tmp/weft-mul-mat.y4GqG4,rvv:/tmp/weft-mul-mat.KmQmGM
mul_mat_f32,SG2044,prefill,examples/kernels/dense/gemm_f32.py,gemm_f32,"{""MC"":64,""MR"":4,""NC"":16,""NR"":4}","{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",dense-fixed-values,10,within-tolerance,0,0,8.993214,GOP/s,9.001753,7.432725,1.209948,-0.095,/tmp/weft-band-final-runs.BxYFeq/sg2044-046-mul_mat_f32-prefill.log,/tmp/weft-mul-mat.C5pvV0,rvv:/tmp/weft-mul-mat.KWj0ua
mul_mat_iq1_m,SG2044,decode,examples/kernels/mul_mat/iq1_m_decode.py,production_mul_mat_iq1_m_decode,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":2}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.185161,GOP/s,2.191551,2.639333,0.827922,-0.292,/tmp/weft-band-final-runs.BxYFeq/sg2044-012-mul_mat_iq1_m-decode.log,/tmp/weft-mul-mat.y1UqPf,rvv:/tmp/weft-mul-mat.UwFcsh
mul_mat_iq1_s,SG2044,decode,examples/kernels/mul_mat/iq1_s_decode.py,production_mul_mat_iq1_s_decode,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":4}",valid-quantized-record-replicated,10,within-tolerance,0,0,3.822073,GOP/s,3.548349,4.839919,0.789698,7.714,/tmp/weft-band-final-runs.BxYFeq/sg2044-006-mul_mat_iq1_s-decode.log,/tmp/weft-mul-mat.SUgMr8,rvv:/tmp/weft-mul-mat.xt22iL
mul_mat_iq1_s,SG2044,prefill,examples/kernels/mul_mat/iq1_s.py,production_mul_mat_iq1_s,"{""MC"":16,""MR"":1,""NC"":32,""NR"":1}","{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,3.132048,GOP/s,3.505333,4.854846,0.645138,-10.649,/tmp/weft-band-final-runs.BxYFeq/sg2044-004-mul_mat_iq1_s-prefill.log,/tmp/weft-mul-mat.TqVdrF,rvv:/tmp/weft-mul-mat.IC9rl3
mul_mat_iq2_s,SG2044,decode,examples/kernels/mul_mat/iq2_s.py,production_mul_mat_iq2_s,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.999451,GOP/s,2.278927,2.025036,1.481184,31.617,/tmp/weft-band-final-runs.BxYFeq/sg2044-044-mul_mat_iq2_s-decode.log,/tmp/weft-mul-mat.jKedPM,rvv:/tmp/weft-mul-mat.THQEBk
mul_mat_iq3_s,SG2044,decode,examples/kernels/mul_mat/iq3_s.py,production_mul_mat_iq3_s,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,1.838312,GOP/s,1.832357,1.097783,1.674568,0.325,/tmp/weft-band-final-runs.BxYFeq/sg2044-058-mul_mat_iq3_s-decode.log,/tmp/weft-mul-mat.sgRo2f,rvv:/tmp/weft-mul-mat.vfuni0
mul_mat_iq3_s,SG2044,prefill,examples/kernels/mul_mat/iq3_s.py,production_mul_mat_iq3_s,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,1.830427,GOP/s,1.767709,2.002326,0.914150,3.548,/tmp/weft-band-final-runs.BxYFeq/sg2044-019-mul_mat_iq3_s-prefill.log,/tmp/weft-mul-mat.0eAT89,rvv:/tmp/weft-mul-mat.I4Yqzf
mul_mat_iq3_xxs,SG2044,decode,examples/kernels/mul_mat/iq3_xxs.py,production_mul_mat_iq3_xxs,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.892633,GOP/s,2.448096,2.618095,1.104862,18.158,/tmp/weft-iq3-flat-runs.t06mR8/sg2044-002-mul_mat_iq3_xxs-decode.log,/tmp/weft-mul-mat.WhaxN5,rvv:/tmp/weft-mul-mat.FPqpCN
mul_mat_iq3_xxs,SG2044,prefill,examples/kernels/mul_mat/iq3_xxs.py,production_mul_mat_iq3_xxs,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.755449,GOP/s,2.439465,2.919829,0.943702,12.953,/tmp/weft-iq3-flat-runs.t06mR8/sg2044-000-mul_mat_iq3_xxs-prefill.log,/tmp/weft-mul-mat.cNm55p,rvv:/tmp/weft-mul-mat.0fNSFo
mul_mat_iq4_nl,SG2044,decode,examples/kernels/mul_mat/iq4_nl_decode.py,production_mul_mat_iq4_nl_decode,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,6.533359,GOP/s,6.534147,6.514902,1.002833,-0.012,/tmp/weft-band-final-runs.BxYFeq/sg2044-029-mul_mat_iq4_nl-decode.log,/tmp/weft-mul-mat.SLNOdP,rvv:/tmp/weft-mul-mat.ciIfyu
mul_mat_iq4_nl,SG2044,prefill,examples/kernels/mul_mat/iq4_nl.py,production_mul_mat_iq4_nl,"{""MC"":16,""MR"":4,""NC"":32,""NR"":2}","{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,9.373084,GOP/s,9.383889,6.574506,1.425671,-0.115,/tmp/weft-band-final-runs.BxYFeq/sg2044-052-mul_mat_iq4_nl-prefill.log,/tmp/weft-mul-mat.89sYcQ,rvv:/tmp/weft-mul-mat.56ISW3
mul_mat_iq4_xs,SG2044,decode,examples/kernels/mul_mat/iq4_xs_decode.py,production_mul_mat_iq4_xs_decode,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0.000366210938,1.29730179e-06,7.149235,GOP/s,6.771940,2.696453,2.651348,5.571,/tmp/weft-band-final-runs.BxYFeq/sg2044-069-mul_mat_iq4_xs-decode.log,/tmp/weft-mul-mat.5AqpdO,rvv:/tmp/weft-mul-mat.X9bXko
mul_mat_iq4_xs,SG2044,prefill,examples/kernels/mul_mat/iq4_xs.py,production_mul_mat_iq4_xs,"{""MC"":16,""MR"":2,""NC"":32,""NR"":4}","{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0.000549316406,5.91296121e-05,8.984068,GOP/s,8.982014,5.829310,1.541189,0.023,/tmp/weft-band-final-runs.BxYFeq/sg2044-056-mul_mat_iq4_xs-prefill.log,/tmp/weft-mul-mat.PehGxo,rvv:/tmp/weft-mul-mat.WE6s18
mul_mat_mxfp4,SG2044,decode,examples/kernels/mul_mat/mxfp4_decode.py,production_mul_mat_mxfp4_decode,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,6.555159,GOP/s,6.557055,6.219665,1.053941,-0.029,/tmp/weft-band-final-runs.BxYFeq/sg2044-037-mul_mat_mxfp4-decode.log,/tmp/weft-mul-mat.QarcPI,rvv:/tmp/weft-mul-mat.tpmEtZ
mul_mat_mxfp4,SG2044,prefill,examples/kernels/mul_mat/mxfp4.py,production_mul_mat_mxfp4,"{""MC"":16,""MR"":2,""NC"":32,""NR"":4}","{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,7.738206,GOP/s,7.729776,6.224872,1.243111,0.109,/tmp/weft-band-final-runs.BxYFeq/sg2044-047-mul_mat_mxfp4-prefill.log,/tmp/weft-mul-mat.QyGoXb,rvv:/tmp/weft-mul-mat.0NilW7
mul_mat_nvfp4,SG2044,decode,examples/kernels/mul_mat/nvfp4_decode.py,production_mul_mat_nvfp4_decode,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,0.600999,GOP/s,0.601073,0.303237,1.981945,-0.012,/tmp/weft-band-final-runs.BxYFeq/sg2044-063-mul_mat_nvfp4-decode.log,/tmp/weft-mul-mat.rhchG1,rvv:/tmp/weft-mul-mat.JZUfqI
mul_mat_nvfp4,SG2044,prefill,examples/kernels/mul_mat/nvfp4.py,production_mul_mat_nvfp4,"{""MC"":16,""MR"":2,""NC"":32,""NR"":4}","{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.184947,GOP/s,2.184894,0.304350,7.179060,0.002,/tmp/weft-band-final-runs.BxYFeq/sg2044-076-mul_mat_nvfp4-prefill.log,/tmp/weft-mul-mat.AtXzjs,rvv:/tmp/weft-mul-mat.YOif5G
mul_mat_q1_0,SG2044,decode,examples/kernels/mul_mat/q1_0_decode.py,production_mul_mat_q1_0_decode,{},"{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,11.683207,GOP/s,11.671501,10.371659,1.126455,0.100,/tmp/weft-band-final-runs.BxYFeq/sg2044-043-mul_mat_q1_0-decode.log,/tmp/weft-mul-mat.yW36zz,rvv:/tmp/weft-mul-mat.bTrRVJ
mul_mat_q1_0,SG2044,prefill,examples/kernels/mul_mat/q1_0.py,production_mul_mat_q1_0,"{""MC"":16,""MR"":2,""NC"":32,""NR"":4}","{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0.000793457031,1.63985442e-05,9.414183,GOP/s,9.411224,11.411757,0.824955,0.031,/tmp/weft-band-final-runs.BxYFeq/sg2044-010-mul_mat_q1_0-prefill.log,/tmp/weft-mul-mat.fqW9tO,rvv:/tmp/weft-mul-mat.DgRBO9
mul_mat_q2_k,SG2044,decode,examples/kernels/mul_mat/q2_k_decode.py,production_mul_mat_q2_k_decode,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":1,""unroll"":8}",valid-quantized-record-replicated,10,within-tolerance,6.10351562e-05,1.00195261e-07,7.716183,GOP/s,8.173049,9.337415,0.826373,-5.590,/tmp/weft-band-final-runs.BxYFeq/sg2044-018-mul_mat_q2_k-decode.log,/tmp/weft-mul-mat.oj5l7z,rvv:/tmp/weft-mul-mat.slhu6U
