runner,request,entry,compiler_arguments,status,numeric,repetitions,cold_median_us,cold_median_ms,cold_gop_s,cold_melements_s,melements_s,same_generated_c,stable_final_replay,reason
weft-mul-mat.sh,k1 iq2_xs prefill,mul_mat/iq2_xs_staged.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=64 --meta KC=512 --meta MC=8 --meta MR=4 --meta NR=2 --auto-lmul-eighths=8 --auto-unroll=1 --auto-pipeline-depth=1,UNCHANGED_REJECTION,,10,,,,,,,,error: nested scaled contraction has no legal full-product carrier under the target resource contract
weft-mul-mat.sh,k1 iq2_xxs decode,mul_mat/iq2_xxs_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths=32 --auto-unroll=4 --auto-pipeline-depth=1,PASS,within-tolerance,10,20368.149,,1.647397,,,True,True,
weft-mul-mat.sh,k1 iq2_xxs prefill,mul_mat/iq2_xxs_staged.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=64 --meta KC=512 --meta MC=8 --meta MR=1 --meta NR=2 --auto-lmul-eighths=8 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,2874537.803,,1.494142,,,True,True,
weft-mul-mat.sh,k1 iq3_s decode,mul_mat/iq3_s.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths=16 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,18136.921,,1.850062,,,True,True,
weft-mul-mat.sh,k1 iq3_s prefill,mul_mat/iq3_s.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths=16 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,2320601.098,,1.850799,,,True,True,
weft-mul-mat.sh,k1 iq3_xxs decode,mul_mat/iq3_xxs.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths=16 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,27179.705,,1.234540,,,True,True,
weft-mul-mat.sh,k1 iq3_xxs prefill,mul_mat/iq3_xxs.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths=16 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,3477857.179,,1.234946,,,True,True,
weft-mul-mat.sh,k1 iq4_nl decode,mul_mat/iq4_nl_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,14445.990,,2.322751,,,True,True,
weft-mul-mat.sh,k1 iq4_nl prefill,mul_mat/iq4_nl.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=4 --meta NR=2 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,1556184.455,,2.759935,,,True,True,
weft-mul-mat.sh,k1 iq4_xs decode,mul_mat/iq4_xs_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,12804.626,,2.620493,,,True,True,
weft-mul-mat.sh,k1 iq4_xs prefill,mul_mat/iq4_xs.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=2 --meta NR=4 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,1792987.183,,2.395426,,,True,True,
weft-mul-mat.sh,k1 mxfp4 decode,mul_mat/mxfp4_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,14511.853,,2.312209,,,True,True,
weft-mul-mat.sh,k1 mxfp4 prefill,mul_mat/mxfp4.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=2 --meta NR=4 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,1478096.098,,2.905743,,,True,True,
weft-mul-mat.sh,k1 nvfp4 decode,mul_mat/nvfp4_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,35472.006,,0.945941,,,True,True,
weft-mul-mat.sh,k1 nvfp4 prefill,mul_mat/nvfp4.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=2 --meta NR=4 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,4088194.169,,1.050578,,,True,True,
weft-mul-mat.sh,k1 q1_0 decode,mul_mat/q1_0_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths=8 --auto-unroll=4 --auto-pipeline-depth=1,PASS,within-tolerance,10,7387.751,,4.541901,,,True,True,
